Year,Month,Europe Flights,Intercontinental Flights,Total Flights,Europe Passengers,Intercontinental Passengers,Total Passengers
2014,January,24728,6664,31392,2301528,1315024,3616552
2014,February,23394,6056,29450,2289187,1146405,3435592
2014,March,27140,6893,34033,2744289,1332183,4076472
2014,April,29742,6888,36630,3168885,1391757,4560642
2014,May,32356,7137,39493,3537385,1450566,4987951
2014,June,31620,7169,38789,3539691,1492946,5032637
2014,July,33479,7748,41227,3853130,1602544,5455674
2014,August,33516,7912,41428,3902345,1716091,5618436
2014,September,32423,7262,39685,3650216,1535289,5185505
2014,October,32391,7365,39756,3546449,1477119,5023568
2014,November,26866,6688,33554,2719549,1253294,3972843
2014,December,26131,6728,32859,2650810,1323852,3974662
2015,January,25330,6702,32032,2407878,1311563,3719441
2015,February,24550,6057,30607,2458211,1144433,3602644
2015,March,27773,6826,34599,2870299,1323760,4194059
2015,April,30611,6991,37602,3365931,1404063,4769994
2015,May,33685,7387,41072,3880734,1499854,5380588
2015,June,32731,7339,40070,3782136,1539418,5321554
2015,July,34463,8031,42494,4197398,1717030,5914428
2015,August,34239,8102,42341,4150650,1786588,5937238
2015,September,33056,7502,40558,3868276,1597963,5466239
2015,October,32724,7517,40241,3768179,1558193,5326372
2015,November,27697,6757,34454,3016712,1308683,4325395
2015,December,27743,6866,34609,2916811,1370782,4287593
2016,January,26437,6714,33151,2745595,1363225,4108820
2016,February,26652,6307,32959,2880353,1215052,4095405
2016,March,29846,7057,36903,3326928,1418941,4745869
2016,April,32408,7372,39780,3736412,1507061,5243473
2016,May,35785,7634,43419,4196258,1542546,5738804
2016,June,35002,7416,42418,4189124,1547715,5736839
2016,July,37023,8235,45258,4578516,1792292,6370808
2016,August,37479,8223,45702,4572032,1830094,6402126
2016,September,35558,7628,43186,4217956,1648531,5866487
2016,October,35653,7743,43396,4148903,1634595,5783498
2016,November,29320,7004,36324,3286965,1407147,4694112
2016,December,29065,7302,36367,3242478,1504991,4747469
2017,January,28471,7192,35663,3060824,1498703,4559527
2017,February,26928,6471,33399,3013325,1310947,4324272
2017,March,31961,7474,39435,3625271,1535953,5161224
2017,April,34145,7728,41873,4146176,1691049,5837225
2017,May,37506,7912,45418,4502206,1705745,6207951
2017,June,36223,7788,44011,4462101,1682674,6144775
2017,July,38141,8355,46496,4863967,1865307,6729274
2017,August,38511,8351,46862,4904314,1884290,6788604
2017,September,36334,7939,44273,4528499,1730605,6259104
2017,October,36771,8078,44849,4512232,1730676,6242908
2017,November,30706,7257,37963,3643001,1527756,5170757
2017,December,29071,7427,36498,3387426,1588099,4975525
2018,January,29744,7369,37113,3322876,1586113,4908989
2018,February,28365,6704,35069,3316805,1425001,4741806
2018,March,32469,7590,40059,3886460,1672996,5559456
2018,April,34088,7773,41861,4247799,1769116,6016915
2018,May,36719,8023,44742,4617220,1776716,6393936
2018,June,35596,7903,43499,4552594,1824799,6377393
2018,July,37167,8382,45549,4797829,1967175,6765004
2018,August,37261,8452,45713,4820950,2015718,6836668
2018,September,36278,7920,44198,4563606,1833334,6396940
2018,October,37010,8090,45100,4562671,1839619,6402290
2018,November,31017,7367,38384,3700208,1596735,5296943
2018,December,30535,7622,38157,3590638,1669616,5260254
2019,January,29779,7406,37185,3373101,1623030,4996131
2019,February,28522,6673,35195,3383286,1453046,4836332
2019,March,32070,7715,39785,3947789,1682525,5630314
2019,April,34186,7706,41892,4314805,1789205,6104010
2019,May,36811,7896,44707,4651471,1790002,6441473
2019,June,35564,7779,43343,4652003,1850585,6502588
2019,July,36530,8206,44736,4758165,1965858,6724023
2019,August,36867,8255,45122,4804762,2005997,6810759
2019,September,36193,7938,44131,4649227,1844241,6493468
2019,October,36508,7995,44503,4600170,1831273,6431443
2019,November,30599,7203,37802,3713816,1609774,5323590
2019,December,30995,7430,38425,3694378,1691825,5386203
2020,January,30336,7231,37567,3448900,1625873,5074773
2020,February,28414,6565,34979,3329009,1387630,4716639
2020,March,19850,5305,25155,1641935,834437,2476372
2020,April,2046,2196,4242,67684,58331,126015
2020,May,2805,3073,5878,131546,76281,207827
2020,June,4659,3459,8118,338245,133165,471410
2020,July,11632,4072,15704,1114398,224459,1338857
2020,August,18864,4261,23125,1608511,246275,1854786
2020,September,17854,4308,22162,1102721,235020,1337741
2020,October,14877,4737,19614,874489,268994,1143483
2020,November,10066,4792,14858,629150,271284,900434
2020,December,10953,4949,15902,836153,396974,1233127
2021,January,9809,4857,14666,553464,315665,869129
2021,February,6500,4155,10655,327645,177563,505208
2021,March,7582,4638,12220,430955,229221,660176
2021,April,9191,4531,13722,536128,250524,786652
2021,May,10870,4709,15579,804575,302165,1106740
2021,June,14381,4814,19195,1231479,446786,1678265
2021,July,23400,5741,29141,2303289,726662,3029951
2021,August,26079,5768,31847,2939403,847570,3786973
2021,September,24485,5534,30019,2677291,692914,3370205
2021,October,25571,5755,31326,2978808,767183,3745991
2021,November,22909,5463,28372,2273366,822457,3095823
2021,December,24523,5702,30225,1924693,931018,2855711
2022,January,20787,5446,26233,1664713,823370,2488083
2022,February,19151,4978,24129,1905321,755355,2660676
2022,March,24612,5770,30382,2706725,1025323,3732048
2022,April,27473,5948,33421,3252399,1182188,4434587
2022,May,31902,6518,38420,3891004,1326031,5217035
2022,June,30316,6605,36921,3807896,1424734,5232630
2022,July,28995,7005,36000,3615230,1564495,5179725
2022,August,30631,7099,37730,3743746,1583615,5327361
2022,September,30244,6783,37027,3705504,1491427,5196931
2022,October,29455,6910,36365,3443474,1468947,4912421
2022,November,23943,6406,30349,2693189,1294216,3987405
2022,December,24170,6499,30669,2709722,1392256,4101978
2023,January,23581,6406,29987,2557198,1339190,3896388
2023,February,22416,5929,28345,2569111,1213117,3782228
2023,March,26326,6802,33128,3129905,1455196,4585101
2023,April,29264,6994,36258,3586955,1541600,5128555
2023,May,32236,7332,39568,4006221,1593649,5599870
2023,June,31697,7215,38912,4013259,1650861,5664120
2023,July,33319,7646,40965,4244511,1764804,6009315
2023,August,33982,7602,41584,4278189,1774695,6052884
2023,September,33352,7273,40625,4138808,1638400,5777208
2023,October,34131,7422,41553,4177245,1642816,5820061
2023,November,28627,6718,35345,3321264,1421134,4742398
2023,December,28637,7062,35699,3316852,1512648,4829500
2024,January,27922,7128,35050,3060179,1483700,4543879
2024,February,28327,6776,35103,3230533,1396406,4626939
2024,March,30958,7265,38223,3662128,1563550,5225678
2024,April,32100,7041,39141,3913794,1556638,5470432
2024,May,34602,7441,42043,4350862,1624832,5975694
2024,June,33555,7302,40857,4320383,1637664,5958047
2024,July,34669,7783,42452,4535569,1765232,6300801
2024,August,35277,7841,43118,4618422,1798617,6417039
2024,September,33180,8598,41778,4170524,1860289,6030813
2024,October,34487,7518,42005,4371263,1667703,6038966
2024,November,29574,7014,36588,3572442,1498744,5071186
2024,December,30203,7246,37449,3578117,1586740,5164857
